id,clave,descripcion
catalogos_clave_prod_stcc405,369,Varios equipos eléctricos
catalogos_clave_prod_stcc406,37,Equipo de transporte
catalogos_clave_prod_stcc407,371,Vehículos de motor y equipar
catalogos_clave_prod_stcc408,3711,Vehículos de motor ensamblados
catalogos_clave_prod_stcc409,37111,Carros pasajeros
catalogos_clave_prod_stcc410,37112,Camiones tractores y camiones
catalogos_clave_prod_stcc411,37113,"Autocares, asd, departamento de bomberos"
catalogos_clave_prod_stcc412,3712,Carrocerías de turismos
catalogos_clave_prod_stcc413,3713,Carrocerías de camiones y autobuses
catalogos_clave_prod_stcc414,3714,Piezas de vehículos de motor
catalogos_clave_prod_stcc415,37147,Partes de carrocería de vehículos de motor
catalogos_clave_prod_stcc416,3715,Remolques de camiones
catalogos_clave_prod_stcc417,372,Aeronaves y piezas
catalogos_clave_prod_stcc418,373,Barcos y embarcaciones
catalogos_clave_prod_stcc419,374,Equipo de ferrocarril
catalogos_clave_prod_stcc420,37422,Vagones de tren de mercancías
catalogos_clave_prod_stcc421,375,"Motocicletas, bicicletas y repuestos"
catalogos_clave_prod_stcc422,376,Piezas de vehículos espaciales
catalogos_clave_prod_stcc423,379,Transporte misceláneo
catalogos_clave_prod_stcc424,38,Instrumentos y artículos ópticos
catalogos_clave_prod_stcc425,381,"Instrucción de ingeniería, laboratorio y ciencias"
catalogos_clave_prod_stcc426,382,"Manómetros, medidores y controles"
catalogos_clave_prod_stcc427,383,Instrumentos ópticos y lentes
catalogos_clave_prod_stcc428,384,"Instrucción quirúrgica, médica y dental"
catalogos_clave_prod_stcc429,385,Productos oftálmicos u ópticos
catalogos_clave_prod_stcc430,386,Equipo y suministros fotográficos
catalogos_clave_prod_stcc431,387,"Relojes, relojes, dispositivos y piezas"
catalogos_clave_prod_stcc432,39,Productos de fabricación misceláneos
catalogos_clave_prod_stcc433,391,"Joyas, platería y baño"
catalogos_clave_prod_stcc434,393,Instrumentos musicales y partes
catalogos_clave_prod_stcc435,394,"Juguetes, diversión y equipamiento deportivo"
catalogos_clave_prod_stcc436,3949,Artículos deportivos y deportivos
catalogos_clave_prod_stcc437,395,"Bolígrafos, lápices y matl de oficina"
catalogos_clave_prod_stcc438,396,"Bisutería, novedades"
catalogos_clave_prod_stcc439,399,Productos manufacturados misceláneos
catalogos_clave_prod_stcc440,40,Materiales de desecho y desecho
catalogos_clave_prod_stcc441,401,Despojos mortales
catalogos_clave_prod_stcc442,402,"Desperdicios y desechos, excepto cenizas"
catalogos_clave_prod_stcc443,4021,"Chatarra, desechos y relaves de metal"
catalogos_clave_prod_stcc444,40211,"Desechos, desechos de hierro y acero"
catalogos_clave_prod_stcc445,4022,Desechos y desechos textiles
catalogos_clave_prod_stcc446,4024,Desechos y desperdicios de papel
catalogos_clave_prod_stcc447,4026,Residuos y desechos de caucho y plástico
