id,clave,descripcion
catalogos_materiales_peligrosos188,M0188,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",
catalogos_materiales_peligrosos189,M0189,"MOTORES DE COHETE CON LÍQUIDOS HIPERGÓLICOS, con o sin carga expulsora (Producto o material explosivo)",
catalogos_materiales_peligrosos190,M0190,CARTUCHOS DE ACCIONAMIENTO (Producto o material explosivo),
catalogos_materiales_peligrosos191,M0191,PROYECTILES con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos192,M0192,INFLAMADORES (Producto o material explosivo),
catalogos_materiales_peligrosos193,M0193,"CARTUCHOS DE FOGUEO PARA ARMAS,  (Producto o material explosivo)",
catalogos_materiales_peligrosos194,M0194,"CARTUCHOS DE FOGUEO PARA ARMAS, , o CARTUCHOS DE FOGUEO PARA ARMAS DE PEQUEÑO CALIBRE,  (Producto o material explosivo)",
catalogos_materiales_peligrosos195,M0195,"CARTUCHOS PARA ARMAS, CON PROYECTIL INERTE (Producto o material explosivo)",
catalogos_materiales_peligrosos196,M0196,TORPEDOS con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos197,M0197,TORPEDOS con carga explosiva (Producto o material explosivo),
catalogos_materiales_peligrosos198,M0198,"EXPLOSIVO PARA VOLADURAS, TIPO B (Producto o material explosivo)",
catalogos_materiales_peligrosos199,M0199,"EXPLOSIVO PARA VOLADURAS, TIPO E (Producto o material explosivo)",
catalogos_materiales_peligrosos200,M0200,ARTIFICIOS DE PIROTECNIA (Producto o material explosivo),
catalogos_materiales_peligrosos201,M0201,ARTIFICIOS DE PIROTECNIA (Producto o material explosivo),
catalogos_materiales_peligrosos202,M0202,ARTIFICIOS DE PIROTECNIA (Producto o material explosivo),
catalogos_materiales_peligrosos203,M0203,ARTIFICIOS DE PIROTECNIA (Producto o material explosivo),
catalogos_materiales_peligrosos204,M0204,ARTIFICIOS DE PIROTECNIA (Producto o material explosivo),
catalogos_materiales_peligrosos205,M0205,"CARTUCHOS DE FOGUEO PARA ARMAS, o CARTUCHOS DE FOGUEO PARA ARMAS DE PEQUEÑO CALIBRE,  (Producto o material explosivo)",
catalogos_materiales_peligrosos206,M0206,"CARTUCHOS PARA ARMAS, CON PROYECTIL INERTE, o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE (Producto o material explosivo)",
catalogos_materiales_peligrosos207,M0207,"NITROCELULOSA seca o humedecida con menos del 25 %, en masa, de agua (o de alcohol) (Producto o material explosivo)",
catalogos_materiales_peligrosos208,M0208,"NITROCELULOSA no modificada o plastificada con menos del 18 %, en masa, de plastificante (Producto o material explosivo)",
catalogos_materiales_peligrosos209,M0209,"NITROCELULOSA HUMEDECIDA con un mínimo del 25 %, en masa, de alcohol (Producto o material explosivo)",
catalogos_materiales_peligrosos210,M0210,"NITROCELULOSA PLASTIFICADA con un mínimo del 18 %, en masa, de plastificante (Producto o material explosivo)",
catalogos_materiales_peligrosos211,M0211,PROYECTILES con carga explosiva (Producto o material explosivo),
